DATE,YardCpu
1597223697000,51.6713848235
1597224597000,38.4181630667
1597225497000,32.3329151556
1597226397000,27.4812795556
1597227297000,28.5141262
1597228197000,27.5389867111
1597229097000,27.9364384222
1597229997000,28.0381738667
1597230897000,29.7419285111
1597231797000,28.4506327111
1597232697000,28.2179785556
1597233597000,28.9675396667
1597234497000,30.2983366667
1597235397000,30.2661409556
1597236297000,29.8836523556
1597237197000,30.2059644667
1597238097000,31.3805097333
1597238997000,30.8495645111
1597239897000,30.5649474
1597240797000,30.6218858222
1597241697000,32.4311247333
1597242597000,30.8613463778
1597243497000,31.1297243556
1597244397000,31.3533392889
1597245297000,33.0360116444
1597246197000,31.6152361556
1597247097000,30.5340892
1597247997000,30.9450068222
1597248897000,32.4427702889
1597249797000,31.2342600667
1597250697000,32.3503694667
1597251597000,32.9396674444
1597252497000,32.6574075111
1597253397000,30.9804457556
1597254297000,30.9974879778
1597255197000,31.9954730667
1597256097000,31.6646662667
1597256997000,30.8422972889
1597257897000,31.3262794889
1597258797000,31.0272613333
1597259697000,32.1422548444
1597260597000,31.6762092667
1597261498002,32.2591961111
1597262398002,31.5214987556
1597263298002,31.5516160444
1597264198002,30.5675754222
1597265098002,30.5511850889
1597265998002,30.8150053778
1597266898002,32.3886454
1597267798002,31.5327358889
1597268698002,32.7469362
1597269598002,31.7071460889
1597270498002,32.7564545111
1597271398002,32.1817163333
1597272298002,32.6550440222
1597273198002,33.4044188222
1597274098002,35.2374889778
1597274998002,31.5021473778
1597275898002,33.4822968667
1597276798002,34.2162599333
1597277698002,33.5702973111
1597278598002,32.1501719778
1597279498002,34.7437024444
1597280398002,36.7038728889
1597281296979,43.1306293333
1597282196979,42.3971541111
1597283096979,41.9130059778
1597283996979,43.7267258667
1597284883000,46.5577772444
1597285783000,46.1762226444
1597286683000,46.5730465333
1597287583000,44.8042662444
1597288483000,28.4463356
1597289383000,28.0774902889
1597290283000,29.0048192
1597291183000,27.7823076
1597292083000,28.8132606
1597292983000,28.5665230889
1597293883000,31.2989154222
1597294783000,30.3656452
1597295683000,30.9271186222
1597296583000,33.9470192
1597297483000,31.1134806444
1597298383000,33.5699424889
1597299283000,33.6076021778
1597300183000,34.3223190667
1597301083000,31.8384502222
1597301983000,32.4935239556
1597302883000,35.5711158667
1597303783000,30.9526589556
1597304683000,33.6125715111
1597305583000,35.3997347111
1597306483000,37.1149363333
1597307383000,39.1832541556
1597308283000,34.2015419111
1597309183000,34.7738209778
1597310083000,36.1344484222
1597310983000,37.4280428
1597311883000,37.5505104444
1597312783000,37.3658617556
1597313683000,37.2590256
1597314583000,36.9894547333
1597315483000,36.8694459778
1597316383000,36.7312854889
1597317283000,37.3545096444
1597318183000,38.2777106889
1597319083000,38.6349234
1597319983000,38.3694920222
1597320883000,38.8285919333
1597321783000,38.0008721556
1597322683000,37.1389110222
1597323583000,37.6600638667
1597324483000,39.617702
1597325383000,36.3951346222
1597326283000,36.5408874222
1597327183000,36.6625212222
1597328084001,37.2537359333
1597328984001,37.0770043778
1597329884001,36.9437310667
1597330784001,36.452172
1597331684001,36.7603090222
1597332584001,35.7816681556
1597333484001,35.2159361333
1597334384001,34.3057226222
1597335284001,35.8838326667
1597336184001,34.9256494667
1597337084001,34.7240856222
1597337984001,34.6359467778
1597338884001,35.1718031333
1597339784001,33.6454214222
1597340684001,34.0590093333
1597341584001,34.1419211556
1597342484001,35.0041342222
1597343384001,33.9269134667
1597344284001,33.7876293556
1597345184001,34.0918291333
1597346084001,34.5101474222
1597346984001,33.9921044
1597347884001,34.1803559111
1597348784001,33.2787622444
1597349684001,34.4621555111
1597350584001,33.5688696444
1597351484001,33.5082006444
1597352384001,34.0045054444
1597353284001,35.0575057111
1597354184001,34.0973214444
1597355084001,34.2857369556
1597355984001,34.2921206444
1597356884001,35.1533992889
1597357784001,35.6646436889
1597358684001,37.1190287333
1597359584001,39.1534986
1597360484001,40.3873081111
1597361384001,39.4008268667
1597362284001,43.9477410667
1597363184001,48.4731762667
1597364084001,47.9602995111
1597364984001,46.8167251333
1597365884001,51.1673526444
1597366784001,51.7058889778
1597367684001,62.8017374
1597368584001,57.9053569333
1597369484001,52.2407608222
1597370384001,48.5456917556
1597371283000,50.4600213333
1597372183000,52.1249574889
1597373083000,45.6917238889
1597373983000,41.3257328222
1597374883000,41.5141943333
1597375783000,41.2227332222
1597376683000,40.0415232444
1597377583000,39.9066437556
1597378483000,42.1105987778
1597379383000,40.231721
1597380283000,40.8571743556
